code Swiss-Prot
101M MYG_PHYCA
102L LYS_BPT4
102M MYG_PHYCA
103L LYS_BPT4
103M MYG_PHYCA
104L LYS_BPT4
104M MYG_PHYCA
105M MYG_PHYCA
106M MYG_PHYCA
107L LYS_BPT4
107M MYG_PHYCA
108L LYS_BPT4
108M MYG_PHYCA
109L LYS_BPT4
109M MYG_PHYCA
10GS GSTP1_HUMAN
10MH MTH1_HAEPH
110L LYS_BPT4
110M MYG_PHYCA
111L LYS_BPT4
111M MYG_PHYCA
112L LYS_BPT4
112M MYG_PHYCA
113L LYS_BPT4
114L LYS_BPT4
115L LYS_BPT4
117E IPYR_YEAST
118L LYS_BPT4
119L LYS_BPT4
11AS ASNA_ECOLI
11BA RNS_BOVIN
11BG RNS_BOVIN
11GS GSTP1_HUMAN
120L LYS_BPT4
121P RASH_HUMAN
122L LYS_BPT4
123L LYS_BPT4
125L LYS_BPT4
126L LYS_BPT4
127L LYS_BPT4
128L LYS_BPT4
129L LYS_BPT4
12AS ASNA_ECOLI
12CA CAH2_HUMAN
12GS GSTP1_HUMAN
130L LYS_BPT4
131L LYS_BPT4
132L LYSC_CHICK
133L LYSC_HUMAN
134L LYSC_HUMAN
135L LYSC_MELGA
137L LYS_BPT4
138L LYS_BPT4
139L LYS_BPT4
13GS GSTP1_HUMAN
13PK PGKC_TRYBB
140L LYS_BPT4
141L LYS_BPT4
142L LYS_BPT4
143L LYS_BPT4
144L LYS_BPT4
145L LYS_BPT4
146L LYS_BPT4
147L LYS_BPT4
148L LYS_BPT4
149L LYS_BPT4
14GS GSTP1_HUMAN
150L LYS_BPT4
151L LYS_BPT4
152L LYS_BPT4
153L LYG_ANSAN
154L LYG_ANSAN
155C CY550_PARDE
155L LYS_BPT4
156L LYS_BPT4
157L LYS_BPT4
158L LYS_BPT4
159L LYS_BPT4
15C8 IGH1M_MOUSE
160L LYS_BPT4
161L LYS_BPT4
162L LYS_BPT4
163D REV_HV1B8
163L LYS_BPT4
164L LYS_BPT4
165L LYS_BPT4
166L LYS_BPT4
167L LYS_BPT4
